Fibre_No	micrometer-H-5	micrometer-V-6	Image_file_name
51	8.5	2	00000004_0000000279B4C2D9_238470250.bmp
49	8.5	2	00000005_0000000282E376FF_238544296.bmp
2	8.5	2	00000006_0000000289C3FDEB_238599656.bmp
12	8.5	2	00000007_000000028FC873F9_238647968.bmp
15	8.5	2	00000008_00000002948CD17F_238686500.bmp
B1	8.5	2	00000009_000000029C8F6EA6_238751156.bmp
B2	8.5	2	00000010_00000002A3B5FAF0_238808453.bmp
31	8.5	2	00000011_00000002AB4A8FA9_238869562.bmp
32	8.5	2	00000012_00000002AF8CE338_238903828.bmp
17	8.5	2	00000013_00000002B43D3F36_238941562.bmp
16	8.5	2	00000014_00000002B933A092_238981656.bmp
6	8.5	2	00000015_00000002BDA7F7F6_239017484.bmp
B3	8.5	2	00000016_00000002C51E8A62_239077656.bmp
B4	8.5	2	00000017_00000002C9B0E413_239114296.bmp
33	8.5	2	00000018_00000002D2498CBA_239183750.bmp
34	8.5	2	00000019_00000002D703E97D_239221593.bmp
19	8.5	2	00000020_00000002DDE47069_239276968.bmp
20	8.5	2	00000021_00000002E294CC67_239315015.bmp
8	8.5	2	00000022_00000002E7EF356D_239358078.bmp
B5	8.5	2	00000023_00000002F163EEF1_239434140.bmp
B6	8.5	2	00000024_00000002F57E3F70_239467328.bmp
36	8.5	2	00000025_00000002FE20E8DB_239536718.bmp
37	8.5	2	00000026_0000000302E54661_239575250.bmp
10	8.5	2	00000027_000000030DCC1C43_239662750.bmp
13	8.5	2	00000028_00000003134E885B_239707171.bmp
23	8.5	2	00000029_000000031740D5C8_239739000.bmp
B7	8.5	2	00000030_000000031C9B3ECE_239782156.bmp
B9	8.5	2	00000031_00000003228BB354_239830015.bmp
48	8.5	2	00000032_000000032B2E5CBF_239899640.bmp
50	8.5	2	00000033_000000033042C067_239940531.bmp
9	8.5	2	00000034_00000003370F45CA_239995031.bmp
24	8.5	2	00000035_000000033BC9A28C_240033125.bmp
26	8.5	2	00000036_00000003426E24DF_240086859.bmp
B10	8.5	2	00000037_00000003467E7499_240119531.bmp
B11	8.5	2	00000038_000000034B6AD531_240159078.bmp
38	8.5	2	00000039_00000003527D5FF2_240216171.bmp
41	8.5	2	00000040_0000000358C7DB5F_240266734.bmp
7	8.5	2	00000041_000000035DC83D7F_240307156.bmp
27	8.5	2	00000042_00000003637CAD6C_240352796.bmp
28	8.5	2	00000043_0000000369592069_240400234.bmp
B12	8.5	2	00000044_000000036D9B73F9_240434515.bmp
B13	8.5	2	00000045_00000003727DD3CC_240473875.bmp
42	8.5	2	00000046_000000037BA28730_240547359.bmp
45	8.5	2	00000047_00000003826F0C93_240602203.bmp
11	8.5	2	00000048_0000000387DD7723_240645875.bmp
25	8.5	2	00000049_000000038E9FFBC2_240700296.bmp
29	8.5	2	00000050_00000003932854B0_240736859.bmp
B14	8.5	2	00000051_0000000397E2B172_240774984.bmp
B15	8.5	2	00000052_000000039D3319B5_240817562.bmp
46	8.5	2	00000053_00000003A2D38819_240863015.bmp
21	8.5	2	00000054_00000003A701DA21_240896562.bmp
18	8.5	2	00000055_00000003AB6C30C1_240932109.bmp
4	8.5	2	00000056_00000003B1B6AC2F_240982812.bmp
1	8.5	2	00000057_00000003B6B70E50_241023046.bmp
B16	8.5	2	00000058_00000003BAF961E0_241057546.bmp
B17	8.5	2	00000059_00000003C0C1D356_241103906.bmp
23	8.5	2	00000060_00000003F7D00B8B_241547546.bmp
23	8.5	1	00000061_000000040342EC2C_241639500.bmp
23	8.5	3	00000062_0000000412A81A3B_241763500.bmp
23	8.5	4	00000063_0000000419A6A376_241819781.bmp
23	8.5	5	00000064_00000004205F2754_241874000.bmp
23	8.5	6	00000065_0000000423936631_241899890.bmp
23	8.5	7	00000066_000000042B63FF86_241962859.bmp
23	8.5	8	00000067_000000042E523906_241986390.bmp
23	8.5	2	00000068_000000043BD7424A_242095250.bmp
23	10.5	2	00000069_0000000445B0037C_242174593.bmp
23	11.5	2	00000070_00000004517CEB05_242269671.bmp
23	6.5	2	00000071_00000004560543F3_242306203.bmp
23	4.5	2	00000072_00000004596185E2_242333078.bmp
23	8.5	2	00000073_0000000461141CEA_242395093.bmp
